"Parameter","If other","Unit","Type of infectious disease model","Mixing","Study","Pathogen","Variant/Strain","Host","Host type","Host breed","Host Age (group)","Host other characterics","Seeder / Inoculated vaccinated","Contact vaccinated","Vaccine","Value","Lower confidence/credible level","Upper confidence / credible level","Frequentist / Bayesian estimation","Estimation method","Remarks","Reference","doi","Filled in by:"
"Other","risk per day of high shedding",NA,NA,NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,"3 dairy farms in NE US",NA,NA,NA,6e-06,NA,NA,NA,NA,NA,"Mitchell et al., 2015","https://doi.org/10.1186%2Fs13567-015-0188-x","AA"
"Other","risk per day of high shedding",NA,NA,NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,"3 dairy farms in NE US",NA,NA,NA,5e-05,NA,NA,NA,NA,NA,"Mitchell et al., 2015","https://doi.org/10.1186%2Fs13567-015-0188-x","AA"
"Other","risk per day of high shedding",NA,NA,NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,"3 dairy farms in NE US",NA,NA,NA,0.002,NA,NA,NA,NA,NA,"Mitchell et al., 2015","https://doi.org/10.1186%2Fs13567-015-0188-x","AA"
"Probability of reactivation of latent infection",NA,NA,NA,NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.0013,NA,NA,NA,NA,"Disease progression rate from latent (H) to low shedding (Y1) (daily probability)","van Schiek et al., 2003","https://doi.org/10.2460/ajvr.2003.64.479","AA"
"Transmission parameter","adult-adult",NA,NA,NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.05,NA,NA,NA,NA,NA,"Al-mamun et al., 2016","https://doi.org/10.1016/j.jtbi.2016.08.014","AA"
"Transmission parameter","adult-calf",NA,NA,NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.383,NA,NA,NA,NA,NA,"Al-mamun et al., 2016","https://doi.org/10.1016/j.jtbi.2016.08.014","AA"
"Transmission parameter","calf-calf",NA,NA,NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.0025,NA,NA,NA,NA,NA,"Al-mamun et al., 2016","https://doi.org/10.1016/j.jtbi.2016.08.014","AA"
"Transmission parameter","adult-calf (colostrum)",NA,NA,NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.072,NA,NA,NA,NA,NA,"Al-mamun et al., 2016","https://doi.org/10.1016/j.jtbi.2016.08.014","AA"
"Transmission parameter","heifer-heifer",NA,NA,NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,"Al-mamun et al., 2016","https://doi.org/10.1016/j.jtbi.2016.08.014","AA"
"Transmission parameter","low shedder-susceptible",NA,"/year",NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,"Al-mamun et al., 2016","https://doi.org/10.1016/j.jtbi.2016.08.014","AA"
"Transmission parameter","high shedder-susceptible",NA,"/year",NA,"Experimental Field","Paratuberculosis",NA,"Cattle","Dairy",NA,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,"Al-mamun et al., 2016","https://doi.org/10.1016/j.jtbi.2016.08.014","AA"
"Transmission parameter","local pasture",NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,"Calves/Cows",NA,NA,NA,NA,3.5e-05,NA,NA,NA,NA,NA,"Biemans et al., 2021","https://doi.org/10.1016/j.prevetmed.2020.105228","AA"
"Transmission parameter","contact pasture",NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,"Calves/Cows",NA,NA,NA,NA,6.65e-07,NA,NA,NA,NA,NA,"Biemans et al., 2021","https://doi.org/10.1016/j.prevetmed.2020.105228","AA"
"Transmission parameter","indoor",NA,NA,NA,"Observational","Paratuberculosis",NA,"Cattle",NA,NA,"Calves/Cows",NA,NA,NA,NA,6.65e-06,NA,NA,NA,NA,NA,"Biemans et al., 2021","https://doi.org/10.1016/j.prevetmed.2020.105228","AA"
"Basic reproduction number",NA,NA,NA,NA,"Observational","Salmonella","Dublin","Cattle",NA,NA,NA,NA,NA,NA,NA,2.5,1.7,9.8,NA,NA,"The aim of our study was
to estimate the basic reproduction ratio (R0 ), the number of secondary cases produced from each
primary case in a totally susceptible population, for S . Dublin and S . Typhimurium in dairy herds.
Serological data were obtained from eight farms with a clinical outbreak of Salmonella, two with an
outbreak of S . Dublin and 6 of S . Typhimurium. R0 was estimated from the serological data of the
herds that were in an endemic state of the infection. R0 across herds was estimated to be 2.5 (95%
CI 1.7–9.8) and 1.3 (95% CI 1.1–1.7) for S . Dublin and S . Typhimurium, respectively.","Van Schaik et al., 2007","DOI: 10.1051/vetres:2007036","AA"
"Basic reproduction number",NA,NA,"SIR",NA,"Observational","Salmonella","Dublin","Cattle",NA,NA,NA,"All herds",NA,NA,NA,2,1.9,2.2,NA,NA,"Salmonellainfection in young dairy calves: Transmission parameters estimated from field data and an SIR-model","Nielsen et al., 2007","https://doi.org/10.1016/j.prevetmed.2006.11.006","AA"
"Basic reproduction number",NA,NA,"SIR",NA,"Observational","Salmonella","Dublin","Cattle",NA,NA,"4 weeks +","herd 1",NA,NA,NA,1.1,0.2,6.4,NA,NA,"Salmonellainfection in young dairy calves: Transmission parameters estimated from field data and an SIR-model","Nielsen et al., 2007","https://doi.org/10.1016/j.prevetmed.2006.11.006","AA"
"Basic reproduction number",NA,NA,"SIR",NA,"Observational","Salmonella","Dublin","Cattle",NA,NA,"4 weeks +","herd 2",NA,NA,NA,2.6,1.1,6.3,NA,NA,"Salmonellainfection in young dairy calves: Transmission parameters estimated from field data and an SIR-model","Nielsen et al., 2007","https://doi.org/10.1016/j.prevetmed.2006.11.006","AA"
"Basic reproduction number",NA,NA,"SIR",NA,"Observational","Salmonella","Dublin","Cattle",NA,NA,"4 weeks +","herd 3",NA,NA,NA,1.8,0.5,6.3,NA,NA,"Salmonellainfection in young dairy calves: Transmission parameters estimated from field data and an SIR-model","Nielsen et al., 2007","https://doi.org/10.1016/j.prevetmed.2006.11.006","AA"
"Basic reproduction number",NA,NA,"SIR",NA,"Observational","Salmonella","Dublin","Cattle",NA,NA,"4 weeks +","herd 4",NA,NA,NA,2.7,0.9,8.5,NA,NA,"Salmonellainfection in young dairy calves: Transmission parameters estimated from field data and an SIR-model","Nielsen et al., 2007","https://doi.org/10.1016/j.prevetmed.2006.11.006","AA"
"Transmission parameter",NA,NA,"SIRS",NA,"Observational","Salmonella",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,NA,NA,NA,"Deterministic and stochastic models motivated by Salmonellatransmission in unmanaged/managed populations are studied. The SIRS models incorporate three routes of transmission (direct, vertical and indirect via free-living infectious units in the environment). With deterministic models we are able to understand the effects of different routes of transmission and other epidemiological factors on infection dynamics. In particular, vertical transmission has little influence on this dynamics, whereas the higher the indirect (direct) transmission rate the greater the tendency to persistent oscillation (stable endemic states).","Xiao et al., 2007","https://doi.org/10.1016/j.tpb.2007.02.003","AA"
"Other","indirect transmission parameter",NA,"SIRS",NA,"Observational","Salmonella",NA,NA,NA,NA,NA,NA,NA,NA,NA,3e-12,NA,NA,NA,NA,"Deterministic and stochastic models motivated by Salmonellatransmission in unmanaged/managed populations are studied. The SIRS models incorporate three routes of transmission (direct, vertical and indirect via free-living infectious units in the environment). With deterministic models we are able to understand the effects of different routes of transmission and other epidemiological factors on infection dynamics. In particular, vertical transmission has little influence on this dynamics, whereas the higher the indirect (direct) transmission rate the greater the tendency to persistent oscillation (stable endemic states).","Xiao et al., 2007","https://doi.org/10.1016/j.tpb.2007.02.003","AA"
"Other","vertical transmission parameter",NA,"SIRS",NA,"Observational","Salmonella",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,"Deterministic and stochastic models motivated by Salmonellatransmission in unmanaged/managed populations are studied. The SIRS models incorporate three routes of transmission (direct, vertical and indirect via free-living infectious units in the environment). With deterministic models we are able to understand the effects of different routes of transmission and other epidemiological factors on infection dynamics. In particular, vertical transmission has little influence on this dynamics, whereas the higher the indirect (direct) transmission rate the greater the tendency to persistent oscillation (stable endemic states).","Xiao et al., 2007","https://doi.org/10.1016/j.tpb.2007.02.003","AA"
"Other","indirect transmission parameter",NA,NA,NA,"Observational","Salmonella","DT104","Cattle","Dairy",NA,NA,NA,NA,NA,NA,1.3e-11,NA,NA,NA,NA,"This is not Salmonella, but have included here in case AMR is decided to consider for Salmonella","Xiao et al., 2006","https://doi.org/10.1016/j.mbs.2006.01.006","AA"
"Transmission parameter",NA,NA,NA,NA,"Observational","Salmonella","DT104","Cattle","Dairy",NA,NA,NA,NA,NA,NA,0.006,NA,NA,NA,NA,"This is not Salmonella, but have included here in case AMR is decided to consider for Salmonella","Xiao et al., 2006","https://doi.org/10.1016/j.mbs.2006.01.006","AA"
