"","Parameter","Test Type","Pathogen","Host","Host type","Host breed","Host Age (group)","Host other characterics","study","Type of sample","Value","Lower confidence/credible level","Upper confidence / credible level","Remarks","Reference","doi","Filled in by:"
"515","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.45,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"516","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.81,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"517","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.56,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"518","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.28,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"519","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.8,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"520","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.47,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"521","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.31,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"522","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.09,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"523","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.18,NA,NA,"LAM","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"524","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.17,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"525","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.07,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"526","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.22,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"527","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"ATCC 19698","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"528","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.88,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"529","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.94,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"530","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",NA,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"531","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.98,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"532","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.83,NA,NA,"LAM","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"533","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.9,NA,NA,"PPA3","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"534","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.69,NA,NA,"PPA3","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"535","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.95,NA,NA,"PPA3","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"536","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.41,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"537","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.89,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"538","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.83,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"539","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.83,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"540","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.98,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"541","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.99,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"542","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.94,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"543","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.95,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"544","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"545","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.91,NA,NA,"LAM","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"546","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.9,NA,NA,"PPA3","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"547","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.93,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"548","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.97,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"549","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"550","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.85,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"551","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"552","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.99,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"553","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"554","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.9,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"555","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"556","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.98,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"557","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.98,NA,NA,"IDEXX","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"558","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.96,NA,NA,"LAM","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"559","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.91,NA,NA,"Various","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"560","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.96,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"561","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",NA,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"562","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.99,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"563","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",1,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"564","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Serum",0.98,NA,NA,"VRI316","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"565","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.61,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"566","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,">2 years",NA,"Systematic Review","Milk",0.54,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"567","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,">=2nd lactation",NA,"Systematic Review","Milk",0.21,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"568","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.6,NA,NA,"LAM","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"569","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.29,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"570","Sensitivity","ELISA","Paratuberculosis","Cattle",NA,NA,"cows",NA,"Systematic Review","Milk",0.39,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"571","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.95,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"572","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,">2 years",NA,"Systematic Review","Milk",0.95,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"573","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,">=2nd lactation",NA,"Systematic Review","Milk",0.98,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"574","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",0.83,NA,NA,"LAM","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"575","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review","Milk",1,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"576","Specificity","ELISA","Paratuberculosis","Cattle",NA,NA,"cows",NA,"Systematic Review","Milk",0.96,NA,NA,"Allied","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"577","Sensitivity","IFN-γ","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review",NA,0.13,NA,NA,"PPDa","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"578","Sensitivity","IFN-γ","Paratuberculosis","Cattle",NA,NA,"1-2 years",NA,"Systematic Review",NA,0.5,NA,NA,"PPDj","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"579","Sensitivity","IFN-γ","Paratuberculosis","Cattle",NA,NA,"2-3 years",NA,"Systematic Review",NA,0.85,NA,NA,"PPDj","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"580","Sensitivity","IFN-γ","Paratuberculosis","Cattle",NA,NA,">3 years",NA,"Systematic Review",NA,0.75,NA,NA,"PPDj","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
"581","Specificity","IFN-γ","Paratuberculosis","Cattle",NA,NA,NA,NA,"Systematic Review",NA,0.88,NA,NA,"PPDa","Nielsen and Toft, 2008","https://doi.org/10.1016/j.vetmic.2007.12.011","AA"
