"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_status","ref_last_access","ref_short","year","filled_by","filled_date","value_original","parameter_type","id"
"Other","minimum infectious dose (oral and nasal)","ID50",NA,NA,NA,"Review","PRRS",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,50,"Transmission","Transmission*877"
"Other","minimum infectious dose (intramuscular)","TCID50",NA,NA,NA,"Review","PRRS",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,158.489319246112,NA,NA,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,158.489319246112,"Transmission","Transmission*878"
"Reproduction number",NA,NA,NA,NA,NA,"Review","PRRS","genotype 1 MLV","Pig",NA,NA,NA,"unvaccinated",NA,NA,NA,5.42,2.94,9.04,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,5.42,"Transmission","Transmission*879"
"Reproduction number",NA,NA,NA,NA,NA,"Review","PRRS","genotype 1 MLV","Pig",NA,NA,NA,"vaccinated",NA,NA,NA,0.3,0.05,0.96,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,0.3,"Transmission","Transmission*880"
"Reproduction number",NA,NA,NA,NA,NA,"Review","PRRS","MN-30100","Pig",NA,NA,NA,"vaccinated",NA,NA,NA,0.59,0.13,3.21,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,0.59,"Transmission","Transmission*881"
"Reproduction number",NA,NA,NA,NA,NA,"Review","PRRS","MN-30100","Pig",NA,NA,NA,"unvaccinated",NA,NA,NA,0.26,0.01,2.26,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,0.26,"Transmission","Transmission*882"
"Reproduction number",NA,NA,NA,NA,NA,"Review","PRRS",NA,"Pig",NA,NA,NA,"vaccinated",NA,NA,NA,1.5,0.7,44.8,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,1.5,"Transmission","Transmission*883"
"Reproduction number",NA,NA,NA,NA,NA,"Review","PRRS",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,5.4,2.9,9,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,5.4,"Transmission","Transmission*884"
"Reproduction number",NA,NA,NA,NA,NA,"Review","PRRS",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,2.78,2.1,3.4,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,2.78,"Transmission","Transmission*885"
"Reproduction number",NA,NA,NA,NA,NA,"Review","PRRS","Type 1 PRBovine Respiratory Syncytial Virus","Pig",NA,NA,NA,NA,NA,NA,NA,2.6,1.8,3.3,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,2.6,"Transmission","Transmission*886"
"Reproduction number",NA,NA,NA,NA,NA,"Review","PRRS",NA,"Pig",NA,NA,NA,NA,NA,NA,NA,3,1.6,6,NA,NA,"Review on the transmission porcine reproductive and respiratory syndrome virus between pigs and farms and impact on vaccination","10.1186/s13567-016-0391-4","doi_invalid",2026-06-25,"Pileri et al., 2016",2016,"Alistair Antonopoulos",2025-08-28,3,"Transmission","Transmission*887"
"Reproduction number","Rt",NA,NA,NA,NA,"Experimental Field","PRRS",NA,"Pig",NA,NA,NA,"farrowing",NA,NA,NA,3.3,2.9,4.3,NA,NA,"Estimation of the transmission parameters for swine influenza and porcine reproductive and respiratory syndrome viruses in pigs from weaning to slaughter under natural conditions","10.1016/j.prevetmed.2017.01.008","doi_invalid",2026-06-25,"Pileri et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,3.3,"Transmission","Transmission*888"
"Reproduction number","Rt",NA,NA,NA,NA,"Experimental Field","PRRS",NA,"Pig",NA,NA,NA,"fattening",NA,NA,NA,3.5,2.8,4.5,NA,NA,"Estimation of the transmission parameters for swine influenza and porcine reproductive and respiratory syndrome viruses in pigs from weaning to slaughter under natural conditions","10.1016/j.prevetmed.2017.01.008","doi_invalid",2026-06-25,"Pileri et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,3.5,"Transmission","Transmission*889"
"Reproduction number","Rt",NA,NA,NA,NA,"Experimental Field","PRRS",NA,"Pig",NA,NA,NA,"slaughter",NA,NA,NA,7.1,3.5,10.6,NA,NA,"Estimation of the transmission parameters for swine influenza and porcine reproductive and respiratory syndrome viruses in pigs from weaning to slaughter under natural conditions","10.1016/j.prevetmed.2017.01.008","doi_invalid",2026-06-25,"Pileri et al., 2017",2017,"Alistair Antonopoulos",2025-08-28,7.1,"Transmission","Transmission*890"
"Probability of transmission via direct contact",NA,NA,NA,NA,NA,"Observational","PRRS",NA,"Pig",NA,NA,NA,"all production systems",NA,NA,NA,1,NA,NA,NA,NA,"The objectives of this study were to develop a model to simulate between-farm spread of a homologous strain of PRRS virus in Ontario swine farms via direct (animal movement) and indirect (sharing of trucks between farms) contacts using the NAADSM and to compare the patterns and extent of outbreak under different simulated conditions.","10.1016/j.prevetmed.2015.01.006","doi_invalid",2026-06-25,"Thakur et al., 2015",2015,"Alistair Antonopoulos",2025-08-28,1,"Transmission","Transmission*891"
"Probability of transmission via indirect contact",NA,NA,NA,NA,NA,"Observational","PRRS",NA,"Pig",NA,NA,NA,"all production systems",NA,NA,NA,0.1,NA,NA,NA,NA,"The objectives of this study were to develop a model to simulate between-farm spread of a homologous strain of PRRS virus in Ontario swine farms via direct (animal movement) and indirect (sharing of trucks between farms) contacts using the NAADSM and to compare the patterns and extent of outbreak under different simulated conditions.","10.1016/j.prevetmed.2015.01.006","doi_invalid",2026-06-25,"Thakur et al., 2015",2015,"Alistair Antonopoulos",2025-08-28,0.1,"Transmission","Transmission*892"
"Transmission parameter","bI","cow/year","SLICE",NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"heifers","infectious cattle",NA,NA,NA,1.79,NA,NA,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","10.1371/journal.pone.0203190","doi_invalid",2026-06-25,"Konboon et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,1.79,"Transmission","Transmission*893"
"Transmission parameter","bI","cow/year","SLICE",NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"adults","infectious cattle",NA,NA,NA,3.92,NA,NA,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","10.1371/journal.pone.0203190","doi_invalid",2026-06-25,"Konboon et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,3.92,"Transmission","Transmission*894"
"Transmission parameter","bC","1/year","SLICE",NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"adults","super shedder",NA,NA,NA,3,NA,NA,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","10.1371/journal.pone.0203190","doi_invalid",2026-06-25,"Konboon et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,3,"Transmission","Transmission*895"
"Transmission parameter","bp","1/year (CFU)","SLICE",NA,NA,"Observational","Paratuberculosis",NA,"Cattle","Dairy",NA,"heifers","pen environment",NA,NA,NA,2,NA,NA,NA,NA,"Using a nested compartmental (NC) modeling approach, the main objective of this research was to identify the best combination of control and preventive measures that minimizes the prevalence and incidence of JD and the risk of MAP occurrence in a dairy herd. The NC model employs both MAP transmission estimates and data on pen movement of cattle on a dairy to quantify the effectiveness of control and preventive measures. To obtain reasonable ranges of parameter values for between-pen movements, the NC model was fitted to the movement data of four typical California dairy farms. Using the estimated ranges of the movement parameters and those of JD from previous research, the basic reproduction number was calculated to measure the risk of MAP occurrence in each pen environment as well as the entire dairy","10.1371/journal.pone.0203190","doi_invalid",2026-06-25,"Konboon et al., 2018",2018,"Alistair Antonopoulos",2025-08-28,2,"Transmission","Transmission*896"
