"parameter","if_other","unit","model_type","model_mixing","model_scale","study_type","pathogen","variant_strain","host","host_type","host_breed","host_age","host_other","vaccine_seeder","vaccine_contact","vaccine","value","lower_cl","upper_cl","estimation_type","estimation_method","remarks","ref","ref_short","year","filled_by","parameter_type","id","scale","inoculated_contact","material","test_type","sample_type","time_period","country","sampling_purpose","info_level","plan_implemented","plan_voluntary_compulsary","plan_coverage","country_disease_status","plan_type","last_updated"
"Sensitivity",NA,NA,NA,NA,NA,"Meta-analysis","E. coli",NA,NA,NA,NA,NA,"gentamicin",NA,NA,NA,0.967,NA,NA,NA,NA,"[category agreement between the two methods] EFSA report, reports a range of AST agreement percentages between the two most commonly used (EUCAST/CLSI) methodologies. However, this is not standardised in vet medicine laboratories.","10.2903/j.efsa.2022.7311","EFSA Panel on Animal Health and Welfare (AHAW), 2022",2022,"AA","DiagnosticTest","DiagnosticTest_271",NA,NA,NA,"EUCAST/CLSI Disk Diffusion AST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Meta-analysis","E. coli",NA,NA,NA,NA,NA,"ceftriaxone",NA,NA,NA,0.984,NA,NA,NA,NA,"[category agreement between the two methods] EFSA report, reports a range of AST agreement percentages between the two most commonly used (EUCAST/CLSI) methodologies. However, this is not standardised in vet medicine laboratories.","10.2903/j.efsa.2022.7311","EFSA Panel on Animal Health and Welfare (AHAW), 2022",2022,"AA","DiagnosticTest","DiagnosticTest_272",NA,NA,NA,"EUCAST/CLSI Disk Diffusion AST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Meta-analysis","E. coli",NA,NA,NA,NA,NA,"trimethoprim-selfamethoxazole",NA,NA,NA,0.998,NA,NA,NA,NA,"[category agreement between the two methods] EFSA report, reports a range of AST agreement percentages between the two most commonly used (EUCAST/CLSI) methodologies. However, this is not standardised in vet medicine laboratories.","10.2903/j.efsa.2022.7311","EFSA Panel on Animal Health and Welfare (AHAW), 2022",2022,"AA","DiagnosticTest","DiagnosticTest_273",NA,NA,NA,"EUCAST/CLSI Disk Diffusion AST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Meta-analysis","E. coli",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA,"EFSA report, reports a range of AST agreement percentages between the two most commonly used (EUCAST/CLSI) methodologies. However, this is not standardised in vet medicine laboratories.","10.2903/j.efsa.2022.7311","EFSA Panel on Animal Health and Welfare (AHAW), 2022",2022,"AA","DiagnosticTest","DiagnosticTest_274",NA,NA,NA,"MALDI-TOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Meta-analysis","E. coli",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,NA,NA,NA,NA,"EFSA report, reports a range of AST agreement percentages between the two most commonly used (EUCAST/CLSI) methodologies. However, this is not standardised in vet medicine laboratories.","10.2903/j.efsa.2022.7311","EFSA Panel on Animal Health and Welfare (AHAW), 2022",2022,"AA","DiagnosticTest","DiagnosticTest_275",NA,NA,NA,"MALDI-TOF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin","blaTEM1-B",NA,NA,NA,0.82,0.7,0.91,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_276",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin","+ blaCTXM-1",NA,NA,NA,0.82,0.7,0.91,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_277",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin","+ blaTEM-106",NA,NA,NA,0.84,0.72,0.92,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_278",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin","+ blaTEM-1A",NA,NA,NA,0.91,0.8,0.97,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_279",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin","blaTEM1-B",NA,NA,NA,0.85,0.73,0.93,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_280",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin","+ blaCTXM-1",NA,NA,NA,0.85,0.73,0.93,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_281",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin","+ blaTEM-106",NA,NA,NA,0.87,0.75,0.95,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_282",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin","+ blaTEM-1A",NA,NA,NA,0.94,0.84,0.99,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_283",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin-CA","blaTEM-1A",NA,NA,NA,0.27,0.08,0.55,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_284",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin-CA","+ blaTEM-106",NA,NA,NA,0.33,0.12,0.62,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_285",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin-CA","+ ampC prom PM",NA,NA,NA,0.47,0.21,0.73,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_286",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin-CA","blaTEM-1A",NA,NA,NA,0.25,0.03,0.65,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_287",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin-CA","+ blaTEM-106",NA,NA,NA,0.38,0.09,0.76,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_288",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"amoxicillin-CA","+ ampC prom PM",NA,NA,NA,0.5,0.16,0.84,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_289",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"cefalexin","cefalexin",NA,NA,NA,1,0.16,1,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_290",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"colistin","mcr1.1",NA,NA,NA,0.5,0.16,0.84,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_291",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"colistin","+ mcr2.1",NA,NA,NA,1,0.63,1,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_292",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"colistin","+ mcr5.1",NA,NA,NA,1,0.63,1,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_293",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"apramycin","aac3IV",NA,NA,NA,0.2,0.1,0.72,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_294",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"apramycin","+ aac3IVa",NA,NA,NA,1,0.48,1,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_295",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"gentamicin","aac3IV",NA,NA,NA,0.11,0,0.48,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_296",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"gentamicin","+ aac3IVa",NA,NA,NA,0.56,0.21,0.86,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_297",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"gentamicin","+ aac3IId",NA,NA,NA,0.09,0.3,0.93,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_298",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"gentamicin","aac3IV",NA,NA,NA,0.12,0,0.53,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_299",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"gentamicin","+ aac3IVa",NA,NA,NA,0.62,0.24,0.91,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_300",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"gentamicin","+ aac3IId",NA,NA,NA,0.67,0.3,0.93,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_301",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"kanamycin-paromomycin","aph3Ia",NA,NA,NA,1,0.4,1,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_302",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"spectinomycin","aad1",NA,NA,NA,0.08,0.36,0.36,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_303",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"spectinomycin","+ aad10",NA,NA,NA,0.15,0.02,0.45,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_304",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"spectinomycin","+ aad12",NA,NA,NA,0.23,0.05,0.54,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_305",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"spectinomycin","+ aad2",NA,NA,NA,0.38,0.14,0.68,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_306",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"spectinomycin","aad1",NA,NA,NA,0.06,0,0.27,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_307",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"spectinomycin","+ aad10",NA,NA,NA,0.11,0.01,0.35,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_308",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sensitivity",NA,NA,NA,NA,NA,"Experimental","E. coli",NA,"Pigs",NA,NA,"spectinomycin","+ aad12",NA,NA,NA,0.17,0.04,0.41,NA,NA,"Here, nanopore sequencing was used on 94 field isolates to assess the predictive power, using the meta R package to determine sensitivity and specificity and associated credibility intervals of genotypes associated with virulence and AMR.","10.3389/fmicb.2023.1139312","Vereecke et al., 2023",2023,"AA","DiagnosticTest","DiagnosticTest_309",NA,NA,NA,"Nanopore Sequencing","Cultured Samples",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
